"","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions"
"46","SRR8477624","0","SRR8477628","0","SRR8477618","1","SRR8477618","0","SRR8477618","0","SRR8477618","0","SRR8477606","0","SRR8477627","0","SRR8477636","0","SRR8477626","0","SRR8477626","0"
"47","SRR8477631","0","SRR8477632","0","SRR8477624","1","SRR8477624","0","SRR8477624","0","SRR8477624","0","SRR8477615","1","SRR8477631","0","SRR8477644","0","SRR8477628","0","SRR8477628","0"
"48","SRR8477636","0","SRR8477633","0","SRR8477627","1","SRR8477627","0","SRR8477627","0","SRR8477627","0","SRR8477616","1","SRR8477645","0","SRR8477646","0","SRR8477645","0","SRR8477645","0"
"49","SRR8477638","0","SRR8477642","0","SRR8477638","1","SRR8477638","0","SRR8477638","0","SRR8477638","0","SRR8477619","1","SRR8477648","0","SRR8477648","0","SRR8477649","0","SRR8477649","0"
"50","SRR8477642","0","SRR8477648","0","SRR8477646","1","SRR8477646","0","SRR8477646","0","SRR8477646","0","SRR8477621","1","SRR8477650","0","SRR8477650","0","SRR8477655","0","SRR8477655","0"
"51","SRR8477644","0","SRR8477650","0","SRR8477648","1","SRR8477648","0","SRR8477648","0","SRR8477648","0","SRR8477624","1","SRR8477659","1","SRR8477659","1","SRR8477657","1","SRR8477657","1"
"52","SRR8477651","0","SRR8477653","0","SRR8477650","1","SRR8477650","0","SRR8477650","0","SRR8477650","0","SRR8477626","1","SRR8477665","1","SRR8477665","1","SRR8477662","1","SRR8477662","1"
"53","SRR8477656","0","SRR8477654","0","SRR8477656","1","SRR8477656","0","SRR8477656","0","SRR8477656","0","SRR8477628","1","SRR8477673","0","SRR8477666","1","SRR8477667","1","SRR8477667","1"
"54","SRR8477657","1","SRR8477655","0","SRR8477658","1","SRR8477658","1","SRR8477658","1","SRR8477658","1","SRR8477632","1","SRR8477674","0","SRR8477667","1","SRR8477673","1","SRR8477673","1"
"55","SRR8477672","1","SRR8477670","1","SRR8477661","1","SRR8477661","1","SRR8477661","1","SRR8477661","1","SRR8477649","1","SRR8477682","1","SRR8477668","1","SRR8477687","1","SRR8477687","1"
"56","SRR8477675","1","SRR8477675","1","SRR8477670","1","SRR8477670","0","SRR8477670","1","SRR8477670","1","SRR8477650","1","SRR8477683","1","SRR8477671","1","SRR8477688","1","SRR8477688","1"
"57","SRR8477685","1","SRR8477687","1","SRR8477674","1","SRR8477674","0","SRR8477674","1","SRR8477674","1","SRR8477666","1","SRR8477688","1","SRR8477694","1","SRR8477691","1","SRR8477691","1"
"58","SRR8477686","1","SRR8477691","1","SRR8477675","1","SRR8477675","1","SRR8477675","1","SRR8477675","1","SRR8477670","1","SRR8477696","1","SRR8477696","1","SRR8477695","1","SRR8477695","1"
"59","SRR8477692","1","SRR8477693","1","SRR8477681","1","SRR8477681","1","SRR8477681","1","SRR8477681","1","SRR8477680","1","SRR8477697","1","SRR8477698","1","SRR8477698","1","SRR8477698","1"
"60","SRR8477695","1","SRR8477707","1","SRR8477701","1","SRR8477701","1","SRR8477701","1","SRR8477701","1","SRR8477692","1","SRR8477698","1","SRR8477702","1","SRR8477703","1","SRR8477703","1"
"61","SRR8477705","1","SRR8477708","1","SRR8477702","1","SRR8477702","1","SRR8477702","1","SRR8477702","1","SRR8477702","1","SRR8477703","1","SRR8477708","1","SRR8477707","1","SRR8477707","1"
"62","SRR8477708","1","SRR8477377","0","SRR8477706","1","SRR8477706","1","SRR8477706","1","SRR8477706","1","SRR8477707","1","SRR8477386","0","SRR8477378","0","SRR8477378","0","SRR8477378","0"
