gene,log2fc,pvalue,mean_control,mean_stress,padj
Itgb5,-0.050020826398540566,0.7202741590153474,17.141124058345213,16.556961354420217,0.8737793800475502
5033430I15Rik,0.029212094243702257,0.7202534314141349,1.6163400742072196,1.6494222282111646,0.8737793800475502
8430429K09Rik,-0.016681023933393123,0.7203641750879786,2.5817343659328076,2.5520437243228495,0.8738231217724028
Myhas,0.06272258080227011,0.7204048797689311,0.4972325373897854,0.51937145371686,0.8738231217724028
Gm13601,-0.06021001000690934,0.7204111221086813,0.631541513340165,0.605686057321316,0.8738231217724028
Gm39027,0.054524062268617966,0.7203484694534918,0.48435191527231214,0.5030459458675511,0.8738231217724028
Neurl2,0.0268846116878954,0.7204258655296601,1.5178256520985214,1.5463943188956142,0.8738231217724028
Gm29521,-0.06009746744050796,0.7205120947405865,0.5588990915366068,0.5360548246900956,0.8738479195865874
Izumo4,-0.011233843442156138,0.7205157017158261,3.9964035277194925,3.9653977910087095,0.8738479195865874
Grm7,-0.033949557482827866,0.7204798506968446,6.75823082107894,6.601029222071142,0.8738479195865874
Gm23677,0.036493605894440756,0.7206520559737373,0.2158128660321002,0.22136719633535534,0.8739852339453571
Gm49715,0.03260840334175691,0.7206767080523482,0.2090009550288777,0.21380153339133356,0.8739870747788155
Prss33,0.056423530348213485,0.7207473620259094,0.4786036467885732,0.4977324790762127,0.8740447016331279
Mir709,-0.06295411887498886,0.7207978567276492,0.3614171517489713,0.3459426287529745,0.8740778785810444
Gm14340,0.022222055762625086,0.7209014932140756,2.0710982729701812,2.1032622015305553,0.8741754938897308
Zbtb9,-0.011681337500990568,0.720954942080937,4.279906335172703,4.245384273148038,0.8741841883645961
Rln3,-0.07371905320975056,0.7209548935841912,0.39787276256736276,0.3780030760736774,0.8741841883645961
Gm47271,-0.031444980294088085,0.7209804927575809,0.21321741325133983,0.2085988466134162,0.874187112006183
Cd40,-0.05260443419271826,0.721035259292284,3.616560190552095,3.4870303345977716,0.8741974024648009
Cfap300,0.025231663174648738,0.7210237199381634,2.6607827502994774,2.7077448195387026,0.8741974024648009
